year,L,aL,sigma,sigmatot,gA,gsig,eland,cost1tot,pbacktime,cpricebase,varpcc,rprecaut,rr,rr1,CO2E_GHGabateB,F_Misc,emissrat,UTILITY,MIU,C,K,CPC,I,S,Y,YGROSS,YNET,DAMAGES,DAMFRAC,ABATECOST,MCABATE,CCATOT,PERIODU,CPRICE,TOTPERIODU,RFACTLONG,RSHORT,RLONG,FORC,TATM,TBOX1,TBOX2,RES0,RES1,RES2,RES3,MAT,CACC,IRFt,ECO2,ECO2E,EIND,F_GHGabate,alpha,ppm,abaterat,atfrac2020,atfrac1765,FORC_CO2,scc
2020,7752.9,5.84,0.29135476864600707,0.4078966761044099,0.066,-0.015,5.9,0.1090617323932941,695.1772859016417,6.0,0.0,-0.0,1.0,1.0,9.959999998,-0.054,1.4,5413.899335429516,0.05,99.75225239838004,295.0,12.86644383371126,34.405685132578064,0.25645657473407907,134.1579375309581,134.89143646541945,134.1640326021515,0.7274038632679435,0.0053925132857075,0.006095071193412289,5.760332870050511,633.5,1.7249492538115643,5.760332870050511,13373.359069875674,1000000.0,1.0,1.0,2.7918384642977476,1.24715,0.1477,1.099454,150.093,102.698,39.534,6.1865,886.5128014,334.98719860000006,43.9591365234,42.94120010052435,52.403200098624346,37.33620010052435,0.518,0.44715359053904336,416.2031931455399,4.543205795785135e-05,0.0,0.47121199161464883,2.327838464297747,9.438124205145835
2025,8137.367350850203,6.252676659528908,0.27030248882209557,0.3752136422961714,0.06550685161806313,-0.0144,5.3100000000000005,0.09543026326887588,661.2730895941868,6.788449277343746,0.0005,-0.000225625,0.8790867031950537,0.8780954309205617,10.30624999828125,-0.034062499999999996,1.3881249999999998,,0.1,116.11607755789146,346.2229756697058,14.269489449282327,39.49443280416693,0.2538031185186359,155.6105103620584,156.75141927368733,155.6480852421799,1.1033340315074183,0.007038749866634391,0.037574880121501786,16.610429012740564,692.0561819552605,1.842856809729122,16.610429012740564,13182.78669401103,796763.2606218415,0.04543953648642255,0.04543953648642258,3.013949903422654,1.4248555725224004,0.16507503338949503,1.2597805391329053,162.80715722845684,113.13240322031855,44.757907860177426,7.026911880746949,915.7243801896998,364.33180176556067,45.25682769310145,42.91226888046614,52.18789387891926,38.13326888046614,0.536360099981855,0.5118556249276863,429.9175493848356,0.00024146749492740853,0.498864045189598,0.473551691321167,2.511652303440799,58.04445536598694
2030,8481.17060833459,6.69098181228545,0.251524817063623,0.34616102948381117,0.06501738801380214,-0.013824,4.779000000000001,0.08374732639701223,629.0224204524875,7.680507265178139,0.001,-0.00045125,0.7745396070563381,0.7710515858035668,10.6524999985625,-0.014124999999999999,1.37625,,0.2399999417594802,133.8134062937208,401.91336893004245,15.777704809076717,44.89091995081838,0.2512022002723628,178.70432624453917,180.57126679304142,179.07429798319157,1.4969688098498626,0.008290182798382796,0.36997173865241173,64.1215399005563,750.5729122468052,1.957901434275762,64.1215399005563,12861.459515105573,638098.3150488704,0.044413045250911484,0.044926290868667035,3.194903693287509,1.546340507151056,0.18331489838582815,1.363025608765228,174.1101853885385,122.19372356178145,48.361203413856536,7.109628578197799,939.7747409423744,398.79817130443087,46.417673467068326,38.14984060727887,46.24574122659351,34.51780032894742,0.5503882648196045,0.5756337262277879,441.20879856449505,0.0020703009626422924,0.4549466992042037,0.46867496883494414,2.6586404284679057,68.21676396815405
2035,8786.618184800645,7.156263364162137,0.2347266535787394,0.32025517797649256,0.0645315816547602,-0.013271039999999998,4.301100000000001,0.07370114137493339,598.3446350050658,8.689788998988657,0.0015,-0.000676875,0.6839684848167449,0.6770568744981654,10.998749998843751,0.005812500000000005,1.364375,,0.27186970254908527,153.02341345649,461.78042497860207,17.415507336052734,50.909095187447534,0.24963697806676763,203.93250864393752,206.39168620553846,204.44714981206417,1.9445363934742932,0.009421582958229216,0.5146411681266523,74.4609719096141,802.5954221658219,2.0715515822182415,74.4609719096141,12449.54840005292,513017.72363065084,0.04363639534677528,0.0444963256947031,3.3649214309276156,1.6484850671167273,0.2023271851488336,1.4461578819678937,185.48930336455194,131.37899370985104,52.23199992687083,7.7444128346173855,964.8447098358912,425.75071232993065,47.35520383880985,38.406492080316376,46.41501518856272,35.274730857950246,0.5512001469241342,0.6313516397577554,452.97873701215553,0.0025235857272035353,0.4632408305333511,0.46953258731982467,2.807908784003482,79.5052317178934
2040,9056.484468787621,7.649925132503061,0.21965682912287354,0.2970858613886865,0.06404940521420154,-0.012740198399999998,3.8709900000000004,0.06503472573145694,569.1630228089585,9.831698641742365,0.002,-0.0009025,0.6053540109381833,0.5945205479701953,11.344999999125001,0.025750000000000002,1.3525,,0.30653060819980826,173.83468676556234,527.222199086645,19.194499517408584,57.47806418497298,0.24848636293839366,231.3127509505353,234.49146720877297,232.0176133744542,2.47385383431873,0.010549867181803266,0.7048624239188995,85.8212493034275,854.9679113662534,2.1840249390821995,85.8212493034275,11973.652894330478,413977.8200911961,0.0428995991660792,0.044097144062547125,3.5314918327992917,1.7444019971337046,0.22207228595047637,1.5223297111832284,196.8675405344613,140.60850877095749,56.24000667614603,8.430713563149578,990.1467695447144,452.8211418215389,48.269036012671116,38.403393285938286,46.27080353530468,35.71898020497366,0.5510647221854321,0.689426057770993,464.8576382839035,0.0030472268434074768,0.4679412147158298,0.4703647464364242,2.95467711061386,92.08709539766848
2045,9293.783346442808,8.173428357352368,0.20610082048006811,0.2763039124560913,0.06357083156957424,-0.012230590463999998,3.4838910000000007,0.057535466632715596,541.4046146336524,11.123664589932911,0.0025,-0.001128125,0.5369872355398027,0.522045776761017,11.691249999406251,0.0456875,1.340625,,0.34482421073719915,196.34163101906668,598.7097572658455,21.1261252495429,64.63540975084693,0.24766703446465904,260.9770407699136,265.03543459256366,261.93422103051614,3.1012135620474974,0.011701128065441373,0.9571802606025478,98.55493014827205,907.3361749379874,2.2954437783795547,98.55493014827205,11455.74048623887,335251.48232000286,0.042186290808601194,0.043714973411757944,3.6921460421450965,1.8371175477298445,0.24249465441028312,1.5946228933195614,208.1472905961858,149.78507975341603,60.26775822467112,9.09042424532168,1015.2905528195947,480.04562211839266,49.17246140654426,38.07089679634134,45.73072074217105,35.788335760710765,0.5496004936831062,0.7506629361790255,476.66223137070176,0.0036676799529136786,0.47027295333068436,0.47092859285535743,3.0968580484619905,106.07262785607577
2050,9501.598424748781,8.728293215227449,0.1938747857783682,0.2576111216030067,0.0630958338009846,-0.011741366845439997,3.1355019000000004,0.05102681831751864,515.0,12.585405474490715,0.003,-0.00135375,0.47741937304537674,0.45840601130522457,12.037499999687501,0.06562500000000002,1.3287499999999999,,0.3870360965348055,220.65462021788755,676.7091733226449,23.222894754544583,72.4176679653434,0.247098312891553,293.07228818323097,298.1999844730929,294.3619027514354,3.838081721657485,0.012870831393365822,1.2896145682044968,112.77415522883827,959.2510342057257,2.405925230775427,112.77415522883827,10913.871502188402,272436.3818635201,0.041495163578493144,0.04334500510621381,3.8446041664221693,1.9267544900994769,0.26352442310964036,1.6632300669898363,219.21628259351633,158.79674180471034,64.19502463802009,9.687151330809142,1039.8952003670558,507.3558338386698,50.064693294199046,37.359512439158685,44.738065426929424,35.43756295521215,0.546357343743828,0.8150802165018399,488.21370909251453,0.0044003292709757,0.4708577353636613,0.47109169502258075,3.232621822678342,121.56113748108588
2055,9682.961394142814,9.316100333546176,0.1828206618271585,0.24075195904363936,0.06262438518968289,-0.011271712171622397,2.8219517100000004,0.04744956533608882,512.4314267842313,14.239231116397423,0.0035,-0.001579375,0.4254200792165602,0.402524224033637,12.38374999996875,0.08556250000000001,1.316875,,0.4214051099834112,246.8860802844649,761.6783395803167,25.496960096712286,80.91079723680404,0.24683211703733873,327.7968775212689,334.1730165750925,329.47345292749554,4.699563647596976,0.014063264879260323,1.6765754062265572,128.57467427316377,1010.1958238954875,2.515510747001115,128.57467427316377,10362.209334923005,222146.56495065536,0.04081355185615972,0.04298336892763465,3.991162556003488,2.014031030545195,0.28510878657576677,1.7289222439694283,230.1732362091981,167.7447441542682,68.15381768510707,10.336170384626527,1064.4079684331998,533.7878554622877,50.930408496004205,36.981288018366314,44.146462487591165,35.348521179086745,0.5408788539966465,0.8815630301437757,499.7220509076056,0.00511467778126646,0.47225148521965354,0.4715996170723546,3.3647212020068418,138.63175443395565
2060,9840.769455788895,9.93849230378298,0.17280211942118176,0.2255067658446422,0.06215645921656042,-0.0108208436847575,2.5397565390000008,0.04422323540669511,509.87566438082155,16.11038303033978,0.004,-0.001805,0.37994272512233224,0.3534546819587812,12.730000000250001,0.10550000000000001,1.305,,0.4577850118388945,275.1589655689762,854.3174289184662,27.961123040750863,90.16385349270463,0.24680597211060457,365.32281906168083,373.1871025092378,367.4870181980284,5.700084311209372,0.01527406567076705,2.1641991363475768,146.05714105092085,1060.6248530114417,2.6242334827973264,146.05714105092085,9811.822053156806,181751.01939354325,0.040139928269849745,0.042627938845411543,4.131257281767074,2.098941845481781,0.3071922160076914,1.7917496294740896,240.9411475904164,176.55157701126416,72.05537296543535,10.954113534866032,1088.5022111019819,560.1226419094597,51.784422982711355,36.343195177351056,43.24559197677748,34.96610111562509,0.5341241094722099,0.9512580587002817,511.0339019258131,0.005924073239953223,0.4729048275903599,0.4718937190298382,3.4916331722948653,157.37224261377244
2065,9977.733279871927,10.59717519137652,0.16370121443959496,0.2116861329222012,0.061692029560657814,-0.0103880099373672,2.2857808851000008,0.041305879442262154,507.3326488955773,18.227419673340176,0.0045000000000000005,-0.0020306250000000003,0.3400954478295329,0.3103669412654861,13.07625000053125,0.1254375,1.2931249999999999,,0.49616933801379426,305.60929539645315,955.2851660580671,30.62913056745649,100.24650498949599,0.24700030132418072,405.8558003859492,415.4821282516107,408.6304108458956,6.8517174057151315,0.016491003920067093,2.7746104599464108,165.3105945250528,1110.1837555260113,2.7321305721547446,165.3105945250528,9271.161798519342,149196.44852452778,0.039474768226845876,0.0422775865544598,4.263339054458731,2.1809546074439328,0.3297098236024759,1.8512447838414565,251.43543274211288,185.13169684910832,75.80754998764237,11.503082303664879,1111.8777618825284,586.305993643483,52.62348981923015,35.419653185773804,42.0078688798386,34.26800668927846,0.5257987476900952,1.0240088050485094,522.0083389119852,0.006836444021023947,0.4727766640717092,0.47188382513800514,3.612102806768636,177.8548436664769
