year,L,aL,sigma,sigmatot,gA,gsig,eland,cost1tot,pbacktime,cpricebase,varpcc,rprecaut,rr,rr1,CO2E_GHGabateB,F_Misc,emissrat,UTILITY,MIU,C,K,CPC,I,S,Y,YGROSS,YNET,DAMAGES,DAMFRAC,ABATECOST,MCABATE,CCATOT,PERIODU,CPRICE,TOTPERIODU,RFACTLONG,RSHORT,RLONG,FORC,TATM,TBOX1,TBOX2,RES0,RES1,RES2,RES3,MAT,CACC,IRFt,ECO2,ECO2E,EIND,F_GHGabate,alpha,ppm,abaterat,atfrac2020,atfrac1765,FORC_CO2,scc
2020,7752.9,5.84,0.29135476864600707,0.4078966761044099,0.066,-0.015,5.9,0.1090617323932941,695.1772859016417,6.0,0.0,-0.0,1.0,1.0,9.959999998,-0.054,1.4,1183.227589658545,0.05,99.55288900788761,295.0,12.840729147530292,34.60504852307049,0.25794260973254063,134.1579375309581,134.89143646541945,134.1640326021515,0.7274038632679435,0.0053925132857075,0.006095071193412289,5.760332870050511,633.5,1.722676207654225,5.760332870050511,13355.736370322442,1000000.0,1.0,1.0,2.7918384642977476,1.24715,0.1477,1.099454,150.093,102.698,39.534,6.1865,886.5128014,334.98719860000006,43.9591365234,42.94120010052435,52.403200098624346,37.33620010052435,0.518,0.4471535905392417,416.2031931455399,4.543205795785135e-05,0.0,0.47121199161464883,2.327838464297747,6.0443157139304535
2025,8137.367350850203,6.252676659528908,0.27030248882209557,0.3752136422961714,0.06550685161806313,-0.0144,5.3100000000000005,0.09543026326887588,661.2730895941868,6.788449277343746,0.0005,-0.000225625,0.8790867031950537,0.8780954309205617,10.30624999828125,-0.034062499999999996,1.3881249999999998,,0.1,116.03692470629662,347.21979262217405,14.259762365794252,39.707750051523874,0.2549541428191275,155.7446747578205,156.88667483308097,155.78228206004988,1.1043927730310803,0.007039430048511738,0.037607302229406975,16.610429012740564,692.0561819552605,1.8420779929640834,16.610429012740564,13177.215466103891,795765.7415388335,0.045690086200018014,0.04569008620001804,3.014166397312897,1.424924415537446,0.1650765038596059,1.2598479116778403,162.81690715225372,113.14222810073326,44.76864083322835,7.0315705600238285,915.7593466462391,364.29683530902145,45.256450061584864,42.94517280336415,52.22079780181728,38.16617280336415,0.536360099981855,0.5118357945809624,429.9339655616146,0.00024146766037352798,0.4994611888113358,0.4736022167798592,2.5118687973310423,40.39597789258097
2030,8481.17060833459,6.69098181228545,0.251524817063623,0.34616102948381117,0.06501738801380214,-0.013824,4.779000000000001,0.08374732639701223,629.0224204524875,7.680507265178139,0.001,-0.00045125,0.7745396070563381,0.7710515858035668,10.6524999985625,-0.014124999999999999,1.37625,,0.19429862134304396,133.84884123832214,403.56856560909273,15.78188288144877,45.22294620698571,0.2525408767743374,179.07178744530785,180.79403954391006,179.2856704759284,1.5083690679816362,0.008343024315330362,0.21388303062057826,45.73173475402557,750.6177812325752,1.958205368567086,45.73173475402557,12863.456060240424,636726.5461354944,0.044592913702064765,0.04514149995104139,3.2103103997184697,1.5512608561495576,0.1834209834830656,1.367839872666492,174.8130822441893,122.90305276481698,49.14425122336666,7.471507516693166,942.331893749066,396.28588748350916,46.39043332804958,40.48906262990441,49.07179656488943,36.63861574130281,0.5503882648196045,0.5740717933841856,442.40933978829395,0.0011943982559838046,0.4766064298311367,0.4720536841622477,2.674047134898861,46.225328360788616
2035,8786.618184800645,7.156263364162137,0.2347266535787394,0.32025517797649256,0.0645315816547602,-0.013271039999999998,4.301100000000001,0.07370114137493339,598.3446350050658,8.689788998988657,0.0015,-0.000676875,0.6839684848167449,0.6770568744981654,10.998749998843751,0.005812500000000005,1.364375,,0.21571088786381112,153.15594874802602,464.41793334644984,17.43059110192813,51.32697271349105,0.2510086042718766,204.4829214615171,206.74462998747083,204.7653937342103,1.9792362532605245,0.009573338148519161,0.2824722726932105,51.421732824700754,805.830139364263,2.0725502978619614,51.421732824700754,12455.550451293691,511622.6737993939,0.043750578272028495,0.044677859391370416,3.401746573858941,1.6617082606119484,0.2026811701106302,1.4590270905013183,187.08919787066316,132.99268424124227,53.92242739529584,8.331429045092634,970.335738552294,423.4944008119692,47.36740852087618,41.433660582912744,50.059860454113824,38.06035468270378,0.5558494050887864,0.6321024194643163,455.5566847663352,0.0013813978726158348,0.4864090088793065,0.47446194319476254,2.840084668770149,52.18702980110454
2040,9056.484468787621,7.649925132503061,0.21965682912287354,0.2970858613886865,0.06404940521420154,-0.012740198399999998,3.8709900000000004,0.06503472573145694,569.1630228089585,9.831698641742365,0.002,-0.0009025,0.6053540109381833,0.5945205479701953,11.344999999125001,0.025750000000000002,1.3525,,0.23811514815323415,174.05744164778068,530.8690090329878,19.219095692998135,58.005804152083584,0.24995687685118836,232.06324579986426,234.976888888818,232.42952876973564,2.5473601190823714,0.010840896443597463,0.3662829698713708,57.2922550805422,862.3305856136894,2.185509456945255,57.2922550805422,11981.791584182223,412689.409148483,0.04297842280630597,0.04425300024510431,3.5937047599649774,1.7682989014268182,0.22284141285141404,1.5454574885754042,199.6141769693805,143.37963848322423,59.04066114532079,9.289940247187019,999.3244168451125,451.00616876857697,48.334082131045655,42.27338544164226,50.91696908517717,39.32413679899195,0.5609665465514154,0.6937057826189186,469.1663928850294,0.0015783756217357236,0.4929918359149864,0.476991560936543,3.0069882134135555,58.224449827327476
2045,9293.783346442808,8.173428357352368,0.20610082048006811,0.2763039124560913,0.06357083156957424,-0.012230590463999998,3.4838910000000007,0.057535466632715596,541.4046146336524,11.123664589932911,0.0025,-0.001128125,0.5369872355398027,0.522045776761017,11.691249999406251,0.0456875,1.340625,,0.2612260960663104,196.64848780809544,603.5018619066051,21.15914267394264,65.31994172052408,0.2493427999628032,261.96842952861954,265.6700670934256,262.43457484114737,3.2354922522782004,0.012178610438414285,0.4661453125278837,63.2045653783814,919.9761112159289,2.2972628179115517,63.2045653783814,11464.818663194908,334118.8669068553,0.04223969109482307,0.043850338415048054,3.785183990249358,1.8742259579803762,0.24387959013847188,1.6303463678419043,212.36198209674455,154.04051267349357,64.4703199424561,10.31835111961481,1029.191165832309,478.7849453836199,49.30306507727704,43.02523900266387,51.662429406589965,40.45143124771442,0.565538420376527,0.7598421650027551,483.18834076634226,0.0017793949956743098,0.4980462728506664,0.4795680623201267,3.1739580698728247,64.18570827729701
2050,9501.598424748781,8.728293215227449,0.1938747857783682,0.2576111216030067,0.0630958338009846,-0.011741366845439997,3.1355019000000004,0.05102681831751864,515.0,12.585405474490715,0.003,-0.00135375,0.47741937304537674,0.45840601130522457,12.037499999687501,0.06562500000000002,1.3287499999999999,,0.2845854625305167,221.01920378460096,682.9615230403385,23.26126551601181,73.35793494010395,0.2491971192393001,294.37713872470493,299.02387728872947,294.9585151367038,4.065362152025631,0.013595443243150273,0.5813764119989211,68.95211103614668,978.6468916741069,2.4078573737701667,68.95211103614668,10922.636180366553,271492.9569256625,0.041512124182073645,0.04346063604288565,3.9756805911127238,1.9802488272173078,0.26577062309965815,1.7144782041176496,225.3151173738954,164.9606927356841,70.20107291338388,11.420176426417008,1059.8970594493803,506.7498322247265,50.27598317762989,43.71804665972473,52.329849154290066,41.47486301820154,0.569413748301684,0.8309347062616074,497.6042532626199,0.0019749373695170385,0.5023491655535489,0.4821933821505357,3.340641842811032,69.85397179511581
2055,9682.961394142814,9.316100333546176,0.1828206618271585,0.24075195904363936,0.06262438518968289,-0.011271712171622397,2.8219517100000004,0.04744956533608882,512.4314267842313,14.239231116397423,0.0035,-0.001579375,0.4254200792165602,0.402524224033637,12.38374999996875,0.08556250000000001,1.316875,,0.30042734740429944,250.51390606123041,770.0716244389017,25.87162086722408,78.99695717196803,0.23974006925550442,329.51086323319845,335.2735042502092,330.2087003682797,5.064803881929493,0.01510648416210589,0.6978371350812922,74.82020569378071,1038.2624098464587,2.5326685296011293,74.82020569378071,10432.887838378578,218673.28486425075,0.04327148634602053,0.04343361465761921,4.167782932791642,2.0873956737085684,0.2885075393379087,1.7988881343706598,238.60501637912688,176.27610999910877,76.39811280614094,12.69942734985422,1091.9786665342308,534.2837433122278,51.24539410392851,44.85441277471277,53.517745611272915,42.8802525314511,0.572507951110849,0.9067778499472409,512.6660406263994,0.002117797052983425,0.5076209031761685,0.48540586358577886,3.509712481680785,75.88850944149146
2060,9840.769455788895,9.93849230378298,0.17280211942118176,0.2255067658446422,0.06215645921656042,-0.0108208436847575,2.5397565390000008,0.04422323540669511,509.87566438082155,16.11038303033978,0.004,-0.001805,0.37994272512233224,0.3534546819587812,12.730000000250001,0.10550000000000001,1.305,,0.31245970758784897,277.9138416878254,849.7043793705288,28.241068235201958,87.63724215750398,0.23974006925550442,365.5510838453294,372.58142807232764,366.35153746511105,6.229890607216588,0.01672088337695466,0.8004536197816459,79.27472048471822,1099.4275181756125,2.6360038294417314,79.27472048471822,9855.830540791741,179697.18356035918,0.03926112906146858,0.042912053958100375,4.361931988950182,2.1961029133544865,0.31208650780454716,1.8840164055499393,252.2379663781607,187.99556360796646,83.07017070055942,14.1215213333324,1125.425222020019,562.0022961555936,52.224812261077716,46.011995638387326,54.764383560965896,44.26581068490759,0.5756641744955903,0.9888928257537816,528.3686488356897,0.002189717539232713,0.5127673429288572,0.48882278117214434,3.680767814454584,79.87514044664677
2065,9977.733279871927,10.59717519137652,0.16370121443959496,0.2116861329222012,0.061692029560657814,-0.0103880099373672,2.2857808851000008,0.041305879442262154,507.3326488955773,18.227419673340176,0.0045000000000000005,-0.0020306250000000003,0.3400954478295329,0.3103669412654861,13.07625000053125,0.1254375,1.2931249999999999,,0.3219286963802342,307.86028478034103,939.9281497546318,30.854731845898034,97.08054181151206,0.23974006925550442,404.94082659185307,413.46698223331884,405.8374868140703,7.629495419248497,0.01845249015541269,0.8966602222172555,82.73862844653392,1162.1711485915953,2.740840183440177,82.73862844653392,9300.716833791968,147878.60073627654,0.03897628975821789,0.0424747468247801,4.559763463301202,2.307015807694447,0.336514887792508,1.970500919901939,266.295642005281,200.2044295129804,90.3200991334859,15.745338763801065,1160.5655094155484,589.6056391760469,53.21122798339226,47.44521056231092,56.31184044662911,45.89528813776202,0.5792321589013286,1.0776715533974055,544.8664363453279,0.0022142993823663403,0.5183802890735286,0.4926688338311764,3.855093804399867,82.69997191076229
