year,L,aL,sigma,sigmatot,gA,gsig,eland,cost1tot,pbacktime,cpricebase,varpcc,rprecaut,rr,rr1,CO2E_GHGabateB,F_Misc,emissrat,UTILITY,MIU,C,K,CPC,I,S,Y,YGROSS,YNET,DAMAGES,DAMFRAC,ABATECOST,MCABATE,CCATOT,PERIODU,CPRICE,TOTPERIODU,RFACTLONG,RSHORT,RLONG,FORC,TATM,TBOX1,TBOX2,RES0,RES1,RES2,RES3,MAT,CACC,IRFt,ECO2,ECO2E,EIND,F_GHGabate,alpha,ppm,abaterat,atfrac2020,atfrac1765,FORC_CO2,scc
2020,7752.9,5.84,0.29135476864600707,0.4078966761044099,0.066,-0.015,5.9,0.1090617323932941,695.1772859016417,6.0,0.0,-0.0,1.0,1.0,9.959999998,-0.054,1.4,1183.3442226955244,0.05,99.55485838324843,295.0,12.840983165428218,34.60307914526754,0.2579279301898371,134.15793752851596,134.89143646541945,134.1640326021515,0.7274038632679435,0.0053925132857075,0.0060950736355463424,5.760332870050511,633.5,1.7226986826715835,5.760332870050511,13355.91061688452,1000000.0,0.0,0.0,2.7918384642977476,1.24715,0.1477,1.099454,150.093,102.698,39.534,6.1865,886.5128014,334.9871986,43.9591365234,42.94119974877893,52.40319966937259,37.336199794691325,0.518,0.44715359053926906,416.2031931455399,4.543207616210411e-05,0.0,0.47121199161464883,2.327838464297747,34.98493789192233
2025,8137.367350850203,6.252676659528908,0.27030248882209557,0.3752136422961714,0.06550685161806313,-0.0144,5.3100000000000005,0.09543026326887588,661.2730895941868,6.788449277343746,0.0005,-0.000225625,0.8790867031950537,0.8780954309205617,10.30624999828125,-0.034062499999999996,1.3881249999999998,,0.1,116.04047816463802,347.20994573315926,14.26019904982094,39.7028725856443,0.25492499290903037,155.74335075028233,156.88534006382955,155.78095774176634,1.1043823220631854,0.0070394233241542516,0.03760699148402803,16.610429012740564,692.0561814756076,1.8421129676896364,16.610429012740564,13177.465656104661,795757.5460004506,0.04569214599730721,0.04569214599730721,3.0141642570802194,1.424923734963642,0.16507648932271446,1.2598472456409278,162.81681080190876,113.14213100705682,44.76853475877924,7.031524517308259,915.759001085053,364.2971803905546,45.2564537835441,42.944847641424325,52.22047254276146,38.165847691460556,0.5363600992416695,0.5118359900266968,429.93380332631597,0.00024146771790165724,0.49945529154224455,0.4736017177827753,2.511866657838547,40.397717812176104
2030,8481.17060833459,6.69098181228545,0.251524817063623,0.34616102948381117,0.06501738801380214,-0.013824,4.779000000000001,0.08374732639701223,629.0224204524875,7.680507265178139,0.001,-0.00045125,0.7745396070563381,0.7710515858035668,10.6524999985625,-0.014124999999999999,1.37625,,0.19431083592091034,133.8567786009501,403.53836379020044,15.782818762000469,45.21096069440456,0.25247965307605535,179.06773929535467,180.78998041815157,179.2816524838735,1.5083279342780627,0.008342984112224826,0.21391318851882332,45.7363347197152,750.6173373502771,1.9582734388121565,45.7363347197152,12863.903213853895,636702.6430289126,0.04459836216885126,0.04514525408307925,3.2102993038345353,1.5512571185613389,0.18342089388544078,1.367836224675898,174.81256026469475,122.90252668277022,49.143686509917984,7.471276393091781,942.3300498504748,396.28728749980235,46.390444361304226,40.487626223268094,49.07023004246241,36.63723770813412,0.550388263254847,0.5740724253814667,442.40847410820413,0.001194593673659969,0.47659249217398514,0.4720515068047394,2.6740360405796753,46.22888727006752
2035,8786.618184800645,7.156263364162137,0.2347266535787394,0.32025517797649256,0.0645315816547602,-0.013271039999999998,4.301100000000001,0.07370114137493339,598.3446350050658,8.689788998988657,0.0015,-0.000676875,0.6839684848167449,0.6770568744981654,10.998749998843751,0.005812500000000005,1.364375,,0.21573717421070504,153.17483777200445,464.3401719115061,17.432740850964805,51.29774882456648,0.2508783679925672,204.47258659657092,206.7342442765517,204.75513418040822,1.9791100961434889,0.00957320884631005,0.2825475838372985,51.43175912562027,805.8277367456427,2.0726925686748348,51.43175912562027,12456.405466146321,511572.35038973665,0.04376274305502923,0.04468441707372923,3.401714917691057,1.6616970386499337,0.202680867376224,1.4590161712737095,187.08769787961202,132.9911720809551,53.92083617533083,8.33082764303796,970.3305337789359,423.4972029667069,47.3674150223444,41.43036000797221,50.056270762215426,38.05716716796988,0.5558481611357291,0.6321028195834014,455.55424121076805,0.0013818360130337243,0.48638558770603363,0.4744568989129354,2.840054256555312,52.19501224310409
2040,9056.484468787621,7.649925132503061,0.21965682912287354,0.2970858613886865,0.06404940521420154,-0.012740198399999998,3.8709900000000004,0.06503472573145694,569.1630228089585,9.831698641742365,0.002,-0.0009025,0.6053540109381833,0.5945205479701953,11.344999999125001,0.025750000000000002,1.3525,,0.23817378291980354,174.10292047473786,530.6769722386443,19.224117379626534,57.9349843164317,0.24967896675576506,232.03790479116958,234.95138546592355,232.40438253525664,2.547002930666896,0.010840552932327042,0.36647774408709866,57.31482947741397,862.3236822110593,2.1858123221706496,57.31482947741397,11983.452006193776,412594.7504310231,0.04300462909268164,0.04426447007846734,3.593627640892884,1.7682708855050373,0.22284059265513448,1.5454302928499029,199.61044835317233,143.37587663469407,59.03672403112117,9.288450776763769,999.3114997957513,451.0121824153081,48.33407970401933,42.26586432465214,50.908782756760374,39.31684265659687,0.5609627144408853,0.6937056225641632,469.16032854260624,0.0015793874040403992,0.49295025924024327,0.476980400180261,3.006914926451981,58.24297524436726
2045,9293.783346442808,8.173428357352368,0.20610082048006811,0.2763039124560913,0.06357083156957424,-0.012230590463999998,3.4838910000000007,0.057535466632715596,541.4046146336524,11.123664589932911,0.0025,-0.001128125,0.5369872355398027,0.522045776761017,11.691249999406251,0.0456875,1.340625,,0.26135763071288626,196.75781105142806,603.0343669216519,21.170905724495615,65.14933834061006,0.2487497515506566,261.90714939203815,265.6083109730365,262.373796715803,3.234514257233445,0.01217775997062768,0.4666473237648769,63.255493496498225,919.9589517446759,2.297910231995545,63.255493496498225,11468.049675778715,333948.7782188501,0.04229565096458421,0.0438707062556907,3.785005750894189,1.8741605155130883,0.24387757649884342,1.630282939014245,212.3531977865211,154.03164076274214,64.46100298035121,10.314722504702164,1029.1605640343166,478.79838771035935,49.303047913608836,43.00817716401827,51.64382976350767,40.43482766144021,0.5655287681602359,0.7598409531493417,483.1739737250313,0.0017817280851175677,0.49796927896939125,0.47954374312270215,3.1737894827339366,64.22893120898026
2050,9501.598424748781,8.728293215227449,0.1938747857783682,0.2576111216030067,0.0630958338009846,-0.011741366845439997,3.1355019000000004,0.05102681831751864,515.0,12.585405474490715,0.003,-0.00135375,0.47741937304537674,0.45840601130522457,12.037499999687501,0.06562500000000002,1.3287499999999999,,0.28487304527655116,221.2807983950119,681.8324550270985,23.288797158448894,72.94933586008538,0.24793291837619374,294.2301342550973,298.87548803741697,294.8127501369377,4.0627379004792505,0.01359341285281535,0.5826158818403968,69.06363014431487,978.6064660592463,2.4092418528790143,69.06363014431487,10928.916519796121,271193.1374819309,0.04163127422279022,0.04349746758354062,3.9752801543840013,1.9801009531048632,0.2657659318262131,1.7143350212786501,225.29502942288823,164.9403818013333,70.17958639782961,11.411506432760005,1059.826504054811,506.77996200443516,50.27593974776602,43.67989941387413,52.288240131134174,41.437617488597546,0.5693907517110869,0.8309314231890643,497.57112866423057,0.0019801366821770514,0.5022035652123127,0.48214120343328487,3.340264402672895,69.95299537536496
2055,9682.961394142814,9.316100333546176,0.1828206618271585,0.24075195904363936,0.06262438518968289,-0.011271712171622397,2.8219517100000004,0.04744956533608882,512.4314267842313,14.239231116397423,0.0035,-0.001579375,0.4254200792165602,0.402524224033637,12.38374999996875,0.08556250000000001,1.316875,,0.29957447009487964,247.85230208193786,767.3619256676577,25.596745870727396,81.3161537836695,0.24703507378869083,329.16845586560737,334.91914319746866,329.8604217597964,5.0587214376722685,0.015104306637646222,0.6919658941890406,74.48064625538726,1038.1699652599837,2.5201037698249142,74.48064625538726,10381.129494193656,220907.68679978666,0.04101726880204811,0.043143153471898836,4.1674560605612845,2.087245224441332,0.2885007262283412,1.7987444982129908,238.58768623524574,176.25861223424863,76.38169539992799,12.697900311904238,1091.9258941813266,534.2440710786572,51.244013710292634,44.86371986982266,53.53761452576331,42.88715284797925,0.5724550910730791,0.9066661162936134,512.6412648738623,0.002102163442026644,0.5076064579522048,0.48539825480421067,3.5094384694881864,75.15597030437058
2060,9840.769455788895,9.93849230378298,0.17280211942118176,0.2255067658446422,0.06215645921656042,-0.0108208436847575,2.5397565390000008,0.04422323540669511,509.87566438082155,16.11038303033978,0.004,-0.001805,0.37994272512233224,0.3534546819587812,12.730000000250001,0.10550000000000001,1.305,,0.31225675689487964,276.7400053946587,859.7003124014542,28.121785256524284,90.09612694875304,0.24560319719108353,366.8361323434117,373.8909656246914,367.63804354607635,6.252922078615016,0.0167239186113197,0.8019112026646409,79.19235095671553,1099.3477650824693,2.6310021684931963,79.19235095671553,9837.129686801823,180424.60075472668,0.0404863882628811,0.04281105782077162,4.362711981290678,2.1963022265251673,0.3120851353872694,1.884217091137898,252.2707764164103,188.02894891272308,83.11362884754278,14.15571433903665,1125.5690685157128,561.7786965667565,52.22139400824569,46.1812076429193,54.936179127819415,44.43450724409001,0.5757195273781542,0.9885960961164691,528.4361824017432,0.002186020219823755,0.5131639129829323,0.48898909034985427,3.6814924539125045,79.54005316247144
2065,9977.733279871927,10.59717519137652,0.16370121443959496,0.2116861329222012,0.061692029560657814,-0.0103880099373672,2.2857808851000008,0.041305879442262154,507.3326488955773,18.227419673340176,0.0045000000000000005,-0.0020306250000000003,0.3400954478295329,0.3103669412654861,13.07625000053125,0.1254375,1.2931249999999999,,0.32215133151482817,308.4056142748509,958.1250722060829,30.909386493322813,98.86495041802208,0.24275005116703594,407.27056469287294,415.85229141785425,408.17402024644815,7.678271171406092,0.01846393859037541,0.9034555535751854,82.83019827421947,1162.3221391409957,2.7429410877105256,82.83019827421947,9307.84600382949,147632.95613371715,0.040116759773888386,0.042511691371117925,4.561833191280747,2.307731364913023,0.3365276021553584,1.9712037627576646,266.4022664636886,200.31269187736314,90.44673682934186,15.812738879874841,1160.9744340502684,589.3477050907271,53.20930753158655,47.69431759696962,56.55803624860896,46.14490406755573,0.579304490753387,1.0774924179178773,545.0584197419101,0.0022183178257836797,0.5190055543174515,0.49295665102288583,3.857091200527341,82.76858673313124
