Time Period,Alpha(t),Reservoir 0,Reservoir 1,Reservoir 2,Reservoir 3,Atmospheric Concentration Equation,Accumulated Carbon in Sinks,Temp-Climate Equation for Atmosphere,Temp. box 1,Temp. box 2,Radiative Forcing,Abateable non-CO2 GHG emissions base,Non-abateable forcings (GHG and other),Emissions from deforestation (GtCO2 per year)
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,150.093,102.698,39.534,6.1865,886.5128014,0.0,1.24715,0.1477,1.099454,0.0,9.96,-0.054,5.9
2,0.1000044992221389,150.0854958752319,90.47046992644457,10.059169608832272,5.577369489180095e-05,0.0,-298.51280139999994,1.2471539999999999,-0.13023866178407698,-39.31859777470208,40.51829077950468,10.30625,-0.034062499999999996,5.3100000000000005
3,0.1000044992221389,150.07799212564382,79.69878603976427,2.559490393566419,5.028214728657082e-10,838.6151911842036,588.0,0.5,0.6657525180265232,-11.915749600275007,-115.13713611137294,10.6525,-0.014124999999999999,4.779000000000001
4,0.1000044992221389,150.07048875121694,70.20961095235188,0.6512457120721776,4.533130431206333e-15,820.3362685594774,-250.61519118420358,0.5,0.007890260309166286,-143.69715639722054,96.87988094047147,10.998750000000001,0.005812500000000005,4.301100000000001
5,0.1000044992221389,150.06298575193253,61.85024534277322,0.16570524294932923,4.086792751553222e-20,808.9313454156411,-232.3362685594774,0.5,-0.7448119156119622,-606.2506026224873,108.5197863864731,11.345,0.025750000000000002,3.8709900000000004
6,0.1000044992221389,150.05548312777182,54.48617072607629,0.04216262315728388,3.68440203687308e-25,800.078936337655,-220.9313454156411,0.5,-1.564394461772281,-2194.1607569402368,115.83685179732312,11.69125,0.0456875,3.4838910000000007
7,0.1000044992221389,150.0479808787161,47.998884789193646,0.010728005703758732,3.3216312141483734e-30,792.5838164770054,-212.07893633765502,0.5,-2.4367085820640364,-7624.020887707702,120.90807113254499,12.037500000000001,0.06562500000000002,3.1355019000000004
8,0.1000044992221389,150.04047900474654,42.283994457765694,0.002729671395220041,2.99457925937111e-35,786.0575936736135,-204.58381647700537,0.5,-3.35481404367838,-26177.151865870004,124.81616485218392,12.383750000000001,0.08556250000000001,2.8219517100000004
9,0.1000044992221389,150.03297750584446,37.249536008113495,0.0006945471629710179,2.6997292482256454e-40,780.3272031339075,-198.0575936736135,0.5,-4.315523999424745,-89560.12507334772,128.12357112868796,12.73,0.10550000000000001,2.5397565390000008
10,0.1000044992221389,150.02547638199104,32.8144951916887,0.00017672301597760758,2.4339105371536134e-45,775.283208061121,-192.32720313390746,0.5,-5.317606145193775,-306086.2508252878,131.12185619623864,13.07625,0.1254375,2.2857808851000008
11,0.1000044992221389,150.01797563316757,28.907503557918677,4.496602396679137e-05,2.194264668118403e-50,770.8401482966957,-187.28320806112094,0.5,-6.360848806453177,-1045765.4101737197,133.961938287255,13.4225,0.145375,2.057202796590001
12,0.1000044992221389,150.0104752593553,25.465689996740647,1.1441312837475877e-05,1.9782146304290745e-55,766.9255241571102,-182.8401482966957,0.5,-7.445576861117363,-3572590.5629340364,136.72181005942056,13.76875,0.1653125,1.8514825169310005
13,0.1000044992221389,150.00297526053546,22.433669019905793,2.9111677639469793e-06,1.7834371490834554e-60,763.4761766974087,-178.9255241571102,0.5,-8.572401139563192,-12204495.351682251,139.4416863489622,14.115,0.18525000000000003,1.6663342652379007
14,0.1000044992221389,149.99547563668935,19.762649500527743,7.407277355518706e-07,1.6078377016355608e-65,760.4366471916089,-175.47617669740873,0.5,-9.742088880797455,-41691997.68086479,142.14222681262135,14.46125,0.20518750000000002,1.4997008387141106
15,0.1000044992221389,149.98797638779817,17.409649528757715,1.884733628239623e-07,1.4495279949334236e-70,757.7581258779448,-172.43664719160893,0.5,-10.955496921438293,-142424426.3786195,144.83397814061334,14.807500000000001,0.22512500000000002,1.3497307548426996
16,0.1000044992221389,149.9804775138432,15.336804749083864,4.795582342776394e-08,1.3068056595254306e-75,755.3976261050293,-169.75812587794485,0.5,-12.21353738336429,-486537056.67506844,147.5222646621115,15.15375,0.24506250000000002,1.2147576793584296
17,0.1000044992221389,149.97297901480567,13.510759049053963,1.2202047897786456e-08,1.1781359433807497e-80,753.3172823108829,-167.3976261050293,0.5,-13.517160193323473,-1662062189.5912697,150.20972042733123,15.5,0.265,1.0932819114225867
18,0.1000044992221389,149.96548089066687,11.902127794415426,3.1047318606498007e-09,1.0621352080688922e-85,751.4837380760616,-165.3172823108829,0.5,-14.867344318214265,-5677780341.383631,152.89759944721797,15.5,0.265,0.9839537202803281
19,0.1000044992221389,149.95798314140802,10.485024973079913,7.899788631613736e-10,9.575560499260311e-91,749.867608688187,-163.48373807606163,0.5,-16.265093512050846,-19395898155.26259,155.58645306488873,15.5,0.265,0.8855583482522952
20,0.1000044992221389,149.9504857670104,9.236646638737332,2.0100499246048358e-10,8.632738862098534e-96,748.443008115278,-161.86760868818703,0.5,-17.70239985883746,-66258439102.80893,156.97422987974525,15.5,0.265,0.7970025134270659
21,0.1000044992221389,149.94298876745526,8.136903950915121,5.1144415221886385e-11,7.782748619983457e-101,747.1871324059487,-160.44300811527796,0.5,-19.17543879617072,-226345834020.7832,157.6886395046548,15.5,0.265,0.7173022620843592
22,0.1000044992221389,149.93549214272386,7.168099906382154,1.3013364376523957e-11,7.016449477904182e-106,746.0798927184215,-159.18713240594866,0.5,-20.682559189905287,-773221302002.8914,158.0547668139771,15.5,0.265,0.6455720358759233
23,0.1000044992221389,149.92799589279747,6.314644559875526,3.311166070850162e-12,6.325601105703773e-111,745.103592049119,-158.07989271842155,0.5,-22.223242385248955,-2641405724853.346,158.24094489214352,15.5,0.265,0.581014832288331
24,0.1000044992221389,149.92050001765733,5.5628041514966755,8.425047075856861e-13,5.702774526416568e-116,744.2426404526764,-157.10359204911902,0.5,-23.797563185846403,-9023321246971.73,158.33431636742444,15.5,0.265,0.5229133490594979
25,0.1000044992221389,149.91300451728475,4.900480103747697,2.1436985252805317e-13,5.141272229420388e-121,743.4833041691548,-156.24264045267637,0.5,-25.405910830307917,-30824619466400.957,158.37997341386753,15.5,0.265,0.4706220141535481
26,0.1000044992221389,149.90550939166093,4.317014331839432,5.45450170890891e-14,4.635056149347482e-126,742.8134846210327,-155.48330416915485,0.5,-27.048844646677324,-105300159358022.58,158.4012315815737,15.5,0.265,0.4235598127381933
27,0.1000044992221389,149.89801464076717,3.8030177343347438,1.3878625441791926e-14,4.1786827362817787e-131,742.2225237235003,-154.81348462103267,0.5,-28.727019469817414,-359716478346100.5,158.41013102184388,15.5,0.265,0.381203831464374
28,0.1000044992221389,149.89052026458472,3.350219104207159,3.5313261308352227e-15,3.767244419025554e-136,741.7010323751019,-154.22252372350033,0.5,-30.44114719618067,-1228829524879720.8,158.41287556838068,15.5,0.265,0.3430834483179366
29,0.1000044992221389,149.88302626309488,2.951332028999336,8.985230053668469e-16,3.3963168319659123e-141,741.2407393687919,-153.70103237510193,0.5,-32.19197705835653,-4197811588056050.0,158.41264968742055,15.5,0.265,0.30877510348614295
30,0.1000044992221389,149.87553263627888,2.599937638245507,2.2862334467604647e-16,3.061911238049863e-146,740.8343582920942,-153.24073936879188,0.5,-33.98028559746015,-1.4340168243062016e+16,158.41107721777982,15.5,0.265,0.27789759313752865
31,0.1000044992221389,149.868039384118,2.290381311335386,5.817172561933708e-17,2.76043163625264e-151,740.4754702745244,-152.83435829209418,0.5,-35.80687166035831,-4.8987530985055944e+16,158.40897660657444,15.5,0.265,0.2501078338237758
32,0.1000044992221389,149.8605465065935,2.01768168364777,1.4801417879378893e-17,2.4886360922982236e-156,740.1584206954534,-152.47547027452435,0.5,-37.6725540014473,-1.6734658557251293e+17,158.40675177327975,15.5,0.265,0.22509705044139824
33,0.1000044992221389,149.85305400368665,1.7774504866851704,3.766124674960155e-18,2.243601876805381e-161,739.8782281902412,-152.1584206954534,0.5,-39.57817023558253,-5.716736308127368e+17,158.40459426833323,15.5,0.265,0.2025873453972584
34,0.1000044992221389,149.84556187537873,1.565821932281008,9.582659703908663e-19,2.0226940359753546e-166,739.6305044903719,-151.8782281902412,0.5,-41.52457649318325,-1.9528975691291105e+18,158.4025877172476,15.5,0.265,0.18232861085753257
35,0.1000044992221389,149.83807012165101,1.379390504533645,2.4382455422001233e-19,1.8235370568488627e-171,739.4113838076597,-151.6305044903719,0.5,-43.51264744160789,-6.671304587004256e+18,158.4007616798037,15.5,0.265,0.16409574977177932
36,0.1000044992221389,149.83057874248476,1.2151561584182198,6.20395746875354e-20,1.643989322437261e-176,739.2174606261847,-151.41138380765972,0.5,-45.54327649904874,-2.278988186381506e+19,158.39911933404693,15.5,0.265,0.1476861747946014
37,0.1000044992221389,149.82308773786124,1.0704760432151499,1.578556696114069e-20,1.482120082033369e-181,739.045734900903,-151.21746062618467,0.5,-47.617376151174,-7.78526461493603e+19,158.3976516262634,15.5,0.265,0.13291755731514127
38,0.1000044992221389,149.81559710776176,0.9430219738911721,4.0165350188114846e-21,1.336188689054233e-186,738.8935637810764,-151.04573490090297,0.5,-49.735878324232694,-2.6595287104497867e+20,158.39634443231554,15.5,0.265,0.11962580158362712
39,0.1000044992221389,149.80810685216755,0.8307429660645551,1.0219812564890737e-21,1.2046258831518029e-191,738.7586190816529,-150.8935637810764,0.5,-51.89973479085178,-9.08523128184619e+20,158.39518211837625,15.5,0.265,0.10766322142526442
40,0.1000044992221389,149.80061697105992,0.7318322316690558,2.600364950693355e-22,1.0860169153103519e-196,738.6388498182322,-150.7586190816529,0.5,-54.109917596406106,-3.1036110691460417e+21,158.39414925386131,15.5,0.265,0.096896899282738
41,0.1000044992221389,149.79312746442014,0.6446981042125273,6.616459777378264e-23,9.79086334467864e-202,738.532449202729,-150.6388498182322,0.5,-56.36741949986763,-1.060226357448157e+22,158.3932313825397,15.5,0.265,0.08720720935446419
42,0.1000044992221389,149.78563833222947,0.567938425760923,1.683515230198426e-23,8.82684272065666e-207,738.4378255686328,-150.53244920272903,0.5,-58.67325442615367,-3.62184534074715e+22,158.39241531936534,15.5,0.265,0.07848648841901776
43,0.1000044992221389,149.7781495744692,0.5003179834843507,4.283595193913663e-24,7.957740770384203e-212,738.3535767579904,-150.43782556863277,0.5,-61.028457928599316,-1.2372606642099324e+23,158.39168921365498,15.5,0.265,0.070637839577116
44,0.1000044992221389,149.77066119112064,0.44074863267522585,1.0899329840430085e-24,7.1742116827843465e-217,738.2784675579536,-150.35357675799037,0.5,-63.43408766100495,-4.226613251479732e+23,158.3910425018673,15.5,0.265,0.0635740556194044
45,0.1000044992221389,149.76317318216502,0.38827178637914644,2.7732637094018567e-25,6.467829847002473e-222,738.2114098237959,-150.2784675579536,0.5,-65.89122385913234,-1.443855777067924e+24,158.3904658125979,15.5,0.265,0.05721665005746396
46,0.1000044992221389,149.75568554758365,0.3420429898625239,7.056389442730969e-26,5.830999248343967e-227,738.1514449685442,-150.21140982379586,0.5,-68.40096983173754,-4.932364001467512e+24,158.38995085512968,15.5,0.265,0.05149498505171757
47,0.1000044992221389,149.7481982873578,0.301318331690088,1.7954524771185374e-26,5.2568717852009554e-232,738.0977285374462,-150.15144496854418,0.5,-70.96445246133666,-1.6849476955639264e+25,158.38949030680448,15.5,0.265,0.046345486546545814
48,0.1000044992221389,149.7407114014688,0.2654424727400198,4.568412250704055e-27,4.73927362859638e-237,738.049516619048,-150.0977285374462,0.5,-73.58282271495364,-5.755959487056291e+25,158.3890777062657,15.5,0.265,0.04171093789189123
49,0.1000044992221389,149.73322488989785,0.23383810052023452,1.1624028348484663e-27,4.272638832459273e-242,738.0061538742088,-150.04951661904795,0.5,-76.25725616512447,-1.966296621779993e+26,158.38870735546374,15.5,0.265,0.03753984410270211
50,0.1000044992221389,149.7257387526263,0.20599663908520904,2.9576585393656525e-28,3.851949480715172e-247,737.9670629904181,-150.00615387420885,0.5,-78.98895352144419,-6.717077167616975e+26,158.38837423124994,15.5,0.265,0.03378585969243189
51,0.1000044992221389,149.71825298963543,0.18147006505781085,7.52557011496186e-29,3.472681727568724e-252,737.9317353917115,-149.96706299041807,0.5,-81.77914117294753,-2.294624583898086e+27,158.38807390639516,15.5,0.265,0.03040727372318871
52,0.1000044992221389,149.7107676009065,0.15986369805996822,1.9148324528143049e-29,3.1307571507273942e-257,737.8997230546933,-149.93173539171153,0.5,-84.62907174161657,-7.838680202177045e+27,158.38780247941986,15.5,0.265,0.02736654635086984
53,0.1000044992221389,149.7032825864208,0.1408298495361601,4.8721668476135505e-30,2.8224988944474866e-262,737.8706312989665,-149.89972305469325,0.5,-87.54002464730921,-2.6777760398444064e+28,158.3875565124576,15.5,0.265,0.024629891715782858
54,0.1000044992221389,149.69579794615964,0.12406222776691742,1.2396912197772641e-30,2.5445921307905863e-267,737.844112435957,-149.8706312989665,0.5,-90.51330668440319,-9.147566088451122e+28,158.38733297633758,15.5,0.265,0.02216690254420457
55,0.1000044992221389,149.6883136801043,0.1092910090380983,3.1543138165426376e-31,2.2940484139140357e-272,737.8198601739266,-149.84411243595696,0.5,-93.55025261045112,-3.1249052981833055e+29,158.38712920210364,15.5,0.265,0.019950212289784112
56,0.1000044992221389,149.68082978823608,0.09627849565144456,8.025946699065472e-32,2.068173544082459e-277,737.7976046891424,-149.8198601739266,0.5,-96.65222574714333,-1.0675006912431635e+30,158.38694283824537,15.5,0.265,0.017955191060805703
57,0.1000044992221389,149.67334627053626,0.08481529090534712,2.042150025733472e-32,1.864538595828816e-282,737.7771082838875,-149.79760468914242,0.5,-99.82061859387726,-3.6466952341471755e+30,158.38677181298456,15.5,0.265,0.016159671954725133
58,0.1000044992221389,149.66586312698612,0.07471692949380566,5.196118145276011e-33,1.6809537987188776e-287,737.7581615614416,-149.77710828388751,0.5,-103.05685345423409,-1.2457496505473e+31,158.38661430102792,15.5,0.265,0.01454370475925262
59,0.1000044992221389,149.65838035756698,0.06582090910013462,1.3221185240770568e-33,1.5154449898482254e-292,737.7405800564799,-149.75816156144163,0.5,-106.36238307566661,-4.255612526396518e+31,158.38646869426296,15.5,0.265,0.01308933428332736
60,0.1000044992221389,149.65089796226013,0.0579840754179728,3.3640447403931066e-34,1.3662323848557878e-297,737.7242012666671,-149.74058005647987,0.5,-109.73869130270515,-1.4537622360051647e+32,158.38633357593193,15.5,0.265,0.011780400854994622
61,0.1000044992221389,149.64341594104687,0.05108031851948822,8.559593417138257e-35,1.2317114391698745e-302,737.7088820376781,-149.72420126666714,0.5,-113.18729374399234,-4.966205512662825e+32,158.38620769787286,15.5,0.265,0.01060236076949516
62,0.1000044992221389,149.6359342939085,0.04499854350085268,2.1779329682207197e-35,1.110435593679813e-307,737.6944962595663,-149.7088820376781,0.5,-116.70973845346168,-1.6965083136136035e+33,158.38608996046486,15.5,0.265,0.009542124692545645
63,0.1000044992221389,149.62845302082627,0.039640882748716626,5.541609026154633e-36,1.00110071929e-312,737.6809328374093,-149.69449625956634,0.5,-120.30760662597913,-5.795451780683248e+33,158.3859793949568,15.5,0.265,0.008587912223291081
64,0.1000044992221389,149.62097212178153,0.03492112105956769,1.4100264354713736e-36,9.02531e-318,737.668093903575,-149.68093283740927,0.5,-123.9825133077722,-1.979787606857225e+34,158.38587514789666,15.5,0.265,0.007729121000961972
65,0.1000044992221389,149.61349159675558,0.030763308269073874,3.5877207131440632e-37,8e-323,737.6558932428411,-149.66809390357503,0.5,-127.73610812197569,-6.763163799118636e+34,158.3857764674128,15.5,0.265,0.006956208900865776
66,0.1000044992221389,149.60601144572968,0.027100537065913567,9.128722406697224e-38,0.0,737.6442549050247,-149.6558932428411,0.5,-131.57007600962962,-2.3103682645189653e+35,158.38568269112614,15.5,0.265,0.006260588010779197
